id,created_at,sid,property_name,location,latitude,longitude,nearby_hospitals,nearby_schools,nearby_landmarks
11,2025-01-10 16:49:25.875193+00,NaPalDu1000039,Palm Beach Towers,"Palm Jumeriah, Dubai",25.10130574,55.15603385,Saudi German Hospital Marina (3.5km) || Kings College Hospital (4.2km) || NMC Royal Hospital Dubai (5.1km),Regent International School (4.1km) || Dubai College (5.2km) || GEMS Wellington Academy (5.5km),Atlantis The Palm (2.0km) || The Pointe (1.5km) || Palm West Beach (1.0km) || Nakheel Mall (2.5km)
12,2025-01-10 16:49:25.875193+00,ArW RDu1000040,W Residences at Dubai Harbour,"Marina, Dubai",25.09174917,55.14424345,Mediclinic Parkview Hospital (3.2km) || Saudi German Hospital (2.8km) || NMC Royal Hospital Marina (2.0km),Emirates International School (2.5km) || Dubai College (3.5km) || GEMS Wellington Academy (4.0km),Dubai Marina Mall (1.0km) || JBR Beach (1.5km) || Dubai Marina Walk (0.5km) || Bluewaters Island (2.0km)
13,2025-01-10 16:49:25.875193+00,ArTheSh1000001,The Boulevard 1,"Aljada, Sharjah",25.31416057,55.4747905,University Hospital Sharjah (3.03km) || 5-10km: Al Zahra Hospital Sharjah (5.81km) || Medcare Hospital Sharjah (5.81km) || NMC Royal Hospital Sharjah (6.34km) || Central Private Hospital (8.34km),Sharjah English School (3.03km) || 5-10km: Victoria International School (5.81km) || American School of Creative Science (5.81km) || GEMS Westminster School (6.34km) || Delta English School (8.34km),Sharjah City Centre (3.03km) || University City (3.03km) || 5-10km: Sahara Centre (5.81km) || Blue Souk (5.81km) || Al Majaz Waterfront (6.34km) || Al Qasba (8.34km)
14,2025-01-10 16:49:25.875193+00,ArNesSh1000003,Nest,"Aljada, Sharjah",25.32090084,55.48250936,University Hospital Sharjah (3.76km) || 5-10km: Al Zahra Hospital Sharjah (6.48km) || Medcare Hospital Sharjah (6.48km) || NMC Royal Hospital Sharjah (6.8km) || Central Private Hospital (8.74km),Sharjah English School (3.76km) || 5-10km: Victoria International School (6.48km) || American School of Creative Science (6.48km) || GEMS Westminster School (6.8km) || Delta English School (8.74km),Sharjah City Centre (3.76km) || University City (3.76km) || 5-10km: Sahara Centre (6.48km) || Blue Souk (6.48km) || Al Majaz Waterfront (6.8km) || Al Qasba (8.74km)
15,2025-01-10 16:49:25.875193+00,ArRehSh1000005,Rehan,"Aljada, Sharjah",25.31708108,55.47874616,University Hospital Sharjah (3.32km) || 5-10km: Al Zahra Hospital Sharjah (6.15km) || Medcare Hospital Sharjah (6.15km) || NMC Royal Hospital Sharjah (6.58km) || Central Private Hospital (8.55km),Sharjah English School (3.32km) || 5-10km: Victoria International School (6.15km) || American School of Creative Science (6.15km) || GEMS Westminster School (6.58km) || Delta English School (8.55km),Sharjah City Centre (3.32km) || University City (3.32km) || 5-10km: Sahara Centre (6.15km) || Blue Souk (6.15km) || Al Majaz Waterfront (6.58km) || Al Qasba (8.55km)
16,2025-01-10 16:49:25.875193+00,So330Du1000006,330 Riverside Crescent,"Sobha Hartland II, Dubai",25.17664046,55.32516617,5-10km: Saudi German Hospital (6.79km) || Dubai Hospital (6.79km) || Al Zahra Hospital (7.25km) || Medcare Hospital (7.25km) || NMC Royal Hospital (7.27km) || Mediclinic City Hospital (7.59km) || Aster Hospital (8.18km) || Iranian Hospital Dubai (8.78km) || Rashid Hospital (8.78km),Hartland International School (0.39km) || 5-10km: Dubai International School (6.79km) || GEMS Modern Academy (6.79km) || Kings School Dubai (7.23km) || GEMS Wellington International School (7.73km) || Repton School Dubai (7.73km) || Dubai English Speaking School (8.86km),5-10km: Dubai Opera (5.41km) || Dubai Mall (5.6km) || Burj Khalifa (5.6km) || Dubai Festival City Mall (5.74km) || Dubai Creek (6.3km) || Dubai Frame (6.98km)
17,2025-01-10 16:49:25.875193+00,ArMisSh1000007,Misk,"Aljada, Sharjah",25.31992306,55.48096921,University Hospital Sharjah (3.64km) || 5-10km: Al Zahra Hospital Sharjah (6.34km) || Medcare Hospital Sharjah (6.34km) || NMC Royal Hospital Sharjah (6.68km) || Central Private Hospital (8.63km),Sharjah English School (3.64km) || 5-10km: Victoria International School (6.34km) || American School of Creative Science (6.34km) || GEMS Westminster School (6.68km) || Delta English School (8.63km),Sharjah City Centre (3.64km) || University City (3.64km) || 5-10km: Sahara Centre (6.34km) || Blue Souk (6.34km) || Al Majaz Waterfront (6.68km) || Al Qasba (8.63km)
18,2025-01-10 16:49:25.875193+00,ArSarSh1000008,Sarab,"Aljada, Sharjah",25.31863315,55.48020746,University Hospital Sharjah (3.5km) || 5-10km: Al Zahra Hospital Sharjah (6.27km) || Medcare Hospital Sharjah (6.27km) || NMC Royal Hospital Sharjah (6.66km) || Central Private Hospital (8.61km),Sharjah English School (3.5km) || 5-10km: Victoria International School (6.27km) || American School of Creative Science (6.27km) || GEMS Westminster School (6.66km) || Delta English School (8.61km),Sharjah City Centre (3.5km) || University City (3.5km) || 5-10km: Sahara Centre (6.27km) || Blue Souk (6.27km) || Al Majaz Waterfront (6.66km) || Al Qasba (8.61km)
19,2025-01-10 16:49:25.875193+00,So360Du1000009,360 Riverside Crescent,"Sobha Hartland II, Dubai",25.17851923,55.32844313,5-10km: Saudi German Hospital (6.64km) || Dubai Hospital (6.64km) || NMC Royal Hospital (7.06km) || Al Zahra Hospital (7.44km) || Medcare Hospital (7.44km) || Mediclinic City Hospital (7.79km) || Aster Hospital (7.96km) || Iranian Hospital Dubai (8.87km) || Rashid Hospital (8.87km),Hartland International School (0.0km) || 5-10km: Dubai International School (6.64km) || GEMS Modern Academy (6.64km) || Kings School Dubai (7.44km) || GEMS Wellington International School (7.92km) || Repton School Dubai (7.92km) || Dubai English Speaking School (8.9km),5-10km: Dubai Festival City Mall (5.42km) || Dubai Opera (5.66km) || Dubai Mall (5.82km) || Burj Khalifa (5.82km) || Dubai Creek (6.49km) || Dubai Frame (6.91km)
20,2025-01-10 16:49:25.875193+00,ArSokSh1000010,Sokoon 3,"Aljada, Sharjah",25.31635881,55.47753355,University Hospital Sharjah (3.25km) || 5-10km: Al Zahra Hospital Sharjah (6.04km) || Medcare Hospital Sharjah (6.04km) || NMC Royal Hospital Sharjah (6.5km) || Central Private Hospital (8.47km),Sharjah English School (3.25km) || 5-10km: Victoria International School (6.04km) || American School of Creative Science (6.04km) || GEMS Westminster School (6.5km) || Delta English School (8.47km),Sharjah City Centre (3.25km) || University City (3.25km) || 5-10km: Sahara Centre (6.04km) || Blue Souk (6.04km) || Al Majaz Waterfront (6.5km) || Al Qasba (8.47km)
21,2025-01-10 16:49:25.875193+00,ArSokSh1000011,Sokoon 4,"Aljada, Sharjah",25.31635881,55.47753355,University Hospital Sharjah (3.25km) || 5-10km: Al Zahra Hospital Sharjah (6.04km) || Medcare Hospital Sharjah (6.04km) || NMC Royal Hospital Sharjah (6.5km) || Central Private Hospital (8.47km),Sharjah English School (3.25km) || 5-10km: Victoria International School (6.04km) || American School of Creative Science (6.04km) || GEMS Westminster School (6.5km) || Delta English School (8.47km),Sharjah City Centre (3.25km) || University City (3.25km) || 5-10km: Sahara Centre (6.04km) || Blue Souk (6.04km) || Al Majaz Waterfront (6.5km) || Al Qasba (8.47km)
22,2025-01-10 16:49:25.875193+00,ArSokSh1000012,Sokoon 5,"Aljada, Sharjah",25.31635881,55.47753355,University Hospital Sharjah (3.25km) || 5-10km: Al Zahra Hospital Sharjah (6.04km) || Medcare Hospital Sharjah (6.04km) || NMC Royal Hospital Sharjah (6.5km) || Central Private Hospital (8.47km),Sharjah English School (3.25km) || 5-10km: Victoria International School (6.04km) || American School of Creative Science (6.04km) || GEMS Westminster School (6.5km) || Delta English School (8.47km),Sharjah City Centre (3.25km) || University City (3.25km) || 5-10km: Sahara Centre (6.04km) || Blue Souk (6.04km) || Al Majaz Waterfront (6.5km) || Al Qasba (8.47km)
23,2025-01-10 16:49:25.875193+00,ArJouDu1000013,Jouri Hills,"Jumeirah Golf Estates, Dubai",25.01827826,55.19079037,Mediclinic Parkview Hospital (3.5km) || Saudi German Hospital (4.2km) || NMC Royal Hospital (5.0km),GEMS FirstPoint School (2.5km) || Nord Anglia International School (3.2km) || GEMS United School (4.0km),Earth Golf Course (0.5km) || Fire Golf Course (0.5km) || Dubai Sports City (3.0km)
24,2025-01-10 16:49:25.875193+00,ArJouDu1000015,Jouri Hills Phase 3,"Jumeirah Golf Estates, Dubai",25.01827826,55.19079037,Mediclinic Parkview Hospital (3.5km) || Saudi German Hospital (4.2km) || NMC Royal Hospital (5.0km),GEMS FirstPoint School (2.5km) || Nord Anglia International School (3.2km) || GEMS United School (4.0km),Earth Golf Course (0.5km) || Fire Golf Course (0.5km) || Dubai Sports City (3.0km)
25,2025-01-10 16:49:25.875193+00,ArRovSh1000016,Rove Home,"Aljada, Sharjah",25.32186748,55.48041785,University Hospital Sharjah (3.86km) || 5-10km: Al Zahra Hospital Sharjah (6.27km) || Medcare Hospital Sharjah (6.27km) || NMC Royal Hospital Sharjah (6.57km) || Central Private Hospital (8.5km),Sharjah English School (3.86km) || 5-10km: Victoria International School (6.27km) || American School of Creative Science (6.27km) || GEMS Westminster School (6.57km) || Delta English School (8.5km),Sharjah City Centre (3.86km) || University City (3.86km) || 5-10km: Sahara Centre (6.27km) || Blue Souk (6.27km) || Al Majaz Waterfront (6.57km) || Al Qasba (8.5km)
26,2025-01-10 16:49:25.875193+00,SoVerDu1000017,Verde by Sobha,"Jumeirah Lake Towers, Dubai",25.07043658,55.14710649,Saudi German Hospital (2.0km) || Mediclinic Parkview Hospital (3.5km) || NMC Royal Hospital (3.0km),Emirates International School (1.5km) || GEMS Wellington Academy (2.5km) || Dubai British School (3.0km),JLT Park (0.5km) || Dubai Marina Mall (1.5km) || DMCC Metro Station (1.0km) || Almas Tower (1.0km)
27,2025-01-10 16:49:25.875193+00,ElVilDu1000019,Villa Collection La Mer,"La Mer Beach, Dubai",25.22894244,55.26003152,Iranian Hospital Dubai (0.67km) || Rashid Hospital (0.67km) || Al Zahra Hospital (2.24km) || Medcare Hospital (2.24km) || Mediclinic City Hospital (2.29km) || 5-10km: Saudi German Hospital (5.72km) || Dubai Hospital (5.72km) || NMC Royal Hospital (6.84km) || Aster Hospital (7.44km) || Canadian Specialist Hospital (9.08km),Dubai English Speaking School (1.65km) || GEMS Wellington International School (1.99km) || Repton School Dubai (1.99km) || Kings School Dubai (2.48km) || 5-10km: Dubai International School (5.72km) || GEMS Modern Academy (5.72km) || Hartland International School (8.88km),Dubai Creek (2.89km) || Dubai Mall (3.81km) || Burj Khalifa (3.81km) || Dubai Frame (4.1km) || Dubai Opera (4.28km) || 5-10km: Gold Souk (7.42km) || Dubai Festival City Mall (8.99km)
28,2025-01-10 16:49:25.875193+00,NaNayDu1000020,Naya Residences,"District One, Dubai",25.1570147,55.2826327,5-10km: Al Zahra Hospital (6.11km) || Medcare Hospital (6.11km) || Mediclinic City Hospital (6.21km) || Iranian Hospital Dubai (8.69km) || Rashid Hospital (8.69km) || Saudi German Hospital (9.53km) || Dubai Hospital (9.53km),5-10km: Hartland International School (5.19km) || Kings School Dubai (5.92km) || GEMS Wellington International School (6.49km) || Repton School Dubai (6.49km) || Dubai English Speaking School (9.26km) || Dubai International School (9.53km) || GEMS Modern Academy (9.53km),Dubai Opera (4.05km) || Dubai Mall (4.54km) || Burj Khalifa (4.54km) || 5-10km: Dubai Creek (5.45km) || Dubai Frame (8.87km) || Mall of Emirates (9.3km) || Dubai Festival City Mall (9.98km)
29,2025-01-10 16:49:25.875193+00,ArNasSh1000022,Nasaq 1,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
30,2025-01-10 16:49:25.875193+00,So320Du1000023,320 Riverside Crescent,"Sobha Hartland II, Dubai",25.1769415,55.32609424,5-10km: Saudi German Hospital (6.77km) || Dubai Hospital (6.77km) || NMC Royal Hospital (7.23km) || Al Zahra Hospital (7.31km) || Medcare Hospital (7.31km) || Mediclinic City Hospital (7.66km) || Aster Hospital (8.15km) || Iranian Hospital Dubai (8.82km) || Rashid Hospital (8.82km),Hartland International School (0.29km) || 5-10km: Dubai International School (6.77km) || GEMS Modern Academy (6.77km) || Kings School Dubai (7.3km) || GEMS Wellington International School (7.8km) || Repton School Dubai (7.8km) || Dubai English Speaking School (8.89km),5-10km: Dubai Opera (5.49km) || Dubai Mall (5.67km) || Burj Khalifa (5.67km) || Dubai Festival City Mall (5.68km) || Dubai Creek (6.37km) || Dubai Frame (6.98km)
31,2025-01-10 16:49:25.875193+00,So350Du1000024,350 Riverside Crescent,"Sobha Hartland II, Dubai",25.17790855,55.32506014,5-10km: Saudi German Hospital (6.65km) || Dubai Hospital (6.65km) || NMC Royal Hospital (7.13km) || Al Zahra Hospital (7.17km) || Medcare Hospital (7.17km) || Mediclinic City Hospital (7.52km) || Aster Hospital (8.04km) || Iranian Hospital Dubai (8.67km) || Rashid Hospital (8.67km),Hartland International School (0.34km) || 5-10km: Dubai International School (6.65km) || GEMS Modern Academy (6.65km) || Kings School Dubai (7.16km) || GEMS Wellington International School (7.66km) || Repton School Dubai (7.66km) || Dubai English Speaking School (8.74km),5-10km: Dubai Opera (5.36km) || Dubai Mall (5.53km) || Burj Khalifa (5.53km) || Dubai Festival City Mall (5.62km) || Dubai Creek (6.22km) || Dubai Frame (6.84km)
32,2025-01-10 16:49:25.875193+00,ArNasSh1000025,Nasaq 2,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
33,2025-01-10 16:49:25.875193+00,ArNasSh1000026,Nasaq 3,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
34,2025-01-10 16:49:25.875193+00,ArNasSh1000027,Nasaq 4,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
35,2025-01-10 16:49:25.875193+00,ArNasSh1000028,Nasaq 5,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
36,2025-01-10 16:49:25.875193+00,ArNasSh1000029,Nasaq 6,"Aljada, Sharjah",25.31449135,55.47462242,University Hospital Sharjah (3.06km) || 5-10km: Al Zahra Hospital Sharjah (5.78km) || Medcare Hospital Sharjah (5.78km) || NMC Royal Hospital Sharjah (6.31km) || Central Private Hospital (8.3km),Sharjah English School (3.06km) || 5-10km: Victoria International School (5.78km) || American School of Creative Science (5.78km) || GEMS Westminster School (6.31km) || Delta English School (8.3km),Sharjah City Centre (3.06km) || University City (3.06km) || 5-10km: Sahara Centre (5.78km) || Blue Souk (5.78km) || Al Majaz Waterfront (6.31km) || Al Qasba (8.3km)
37,2025-01-10 16:49:25.875193+00,ArAnaSh1000030,Anantara Sharjah Residences,"Anantara, Sharjah",25.393767,55.4205476,Al Qassimi Hospital (2.5km) || Zulekha Hospital Sharjah (2.5km) || NMC Royal Hospital Sharjah (2.5km),Sharjah English School (2.5km) || GEMS Millennium School Sharjah (2.5km) || Victoria International School (2.5km),Sharjah Corniche (2.5km) || Al Majaz Waterfront (2.5km) || Sharjah Aquarium (2.5km)
38,2025-01-10 16:49:25.875193+00,SoSeaDu1000035,SeaHaven,"Dubai Marina, Dubai",25.09006577,55.14489506,Mediclinic Parkview Hospital (3.2km) || Saudi German Hospital (2.8km) || NMC Royal Hospital Marina (2.0km),Emirates International School (2.5km) || Dubai College (3.5km) || GEMS Wellington Academy (4.0km),Dubai Marina Mall (1.0km) || JBR Beach (1.5km) || Dubai Marina Walk (0.5km) || Bluewaters Island (2.0km)
39,2025-01-10 16:49:25.875193+00,ArEasSh1000036,East Village,"Aljada, Sharjah",25.31235785,55.47576477,University Hospital Sharjah (2.82km) || 5-10km: Al Zahra Hospital Sharjah (5.94km) || Medcare Hospital Sharjah (5.94km) || NMC Royal Hospital Sharjah (6.52km) || Central Private Hospital (8.52km),Sharjah English School (2.82km) || 5-10km: Victoria International School (5.94km) || American School of Creative Science (5.94km) || GEMS Westminster School (6.52km) || Delta English School (8.52km),Sharjah City Centre (2.82km) || University City (2.82km) || 5-10km: Sahara Centre (5.94km) || Blue Souk (5.94km) || Al Majaz Waterfront (6.52km) || Al Qasba (8.52km)
40,2025-01-10 16:49:25.875193+00,So310Du1000038,310 Riverside Crescent,"Sobha Hartland II, Dubai",25.17641328,55.3250816,5-10km: Saudi German Hospital (6.82km) || Dubai Hospital (6.82km) || Al Zahra Hospital (7.25km) || Medcare Hospital (7.25km) || NMC Royal Hospital (7.29km) || Mediclinic City Hospital (7.59km) || Aster Hospital (8.21km) || Iranian Hospital Dubai (8.79km) || Rashid Hospital (8.79km),Hartland International School (0.41km) || 5-10km: Dubai International School (6.82km) || GEMS Modern Academy (6.82km) || Kings School Dubai (7.24km) || GEMS Wellington International School (7.74km) || Repton School Dubai (7.74km) || Dubai English Speaking School (8.87km),5-10km: Dubai Opera (5.41km) || Dubai Mall (5.6km) || Burj Khalifa (5.6km) || Dubai Festival City Mall (5.77km) || Dubai Creek (6.31km) || Dubai Frame (7.0km)
41,2025-01-10 16:49:25.875193+00,SoSobUm1000041,Sobha Siniya Island,"Al Seanneeah, Umm Al Quwain",25.60913412,55.63257991,Umm Al Quwain Hospital (3.5km) || Sheikh Khalifa General Hospital (5.2km) || UAQ Specialized Dental Center (4.1km),Emirates National School UAQ (3.2km) || Dubai Modern Education School (4.5km) || UAQ Indian School (5.1km),Dreamland Aqua Park (2.5km) || UAQ Marine Club (3.0km) || Umm Al Quwain Beach (1.5km)
42,2025-01-10 16:49:25.875193+00,MeNadDu1000042,Nad Al Sheba Gardens,"Nad Al Sheba, Dubai",25.13699014,55.31233493,Mediclinic City Hospital (4.5km) || Iranian Hospital (5.2km) || Al Zahra Hospital (5.8km),Repton School Dubai (3.5km) || GEMS Wellington Academy (4.2km) || Kings School Dubai (4.8km),Meydan Racecourse (2.5km) || Nad Al Sheba Sports Complex (2.0km) || Meydan One Mall (3.5km)
43,2025-01-10 16:49:25.875193+00,ArTirSh1000043,Tiraz,"Aljada, Sharjah",25.3163879,55.47898283,University Hospital Sharjah (3.25km) || 5-10km: Al Zahra Hospital Sharjah (6.18km) || Medcare Hospital Sharjah (6.18km) || NMC Royal Hospital Sharjah (6.63km) || Central Private Hospital (8.6km),Sharjah English School (3.25km) || 5-10km: Victoria International School (6.18km) || American School of Creative Science (6.18km) || GEMS Westminster School (6.63km) || Delta English School (8.6km),Sharjah City Centre (3.25km) || University City (3.25km) || 5-10km: Sahara Centre (6.18km) || Blue Souk (6.18km) || Al Majaz Waterfront (6.63km) || Al Qasba (8.6km)
44,2025-01-10 16:49:25.875193+00,NaTheDu1000044,The Beach Collection Villas,"Palm Jebel Ali, Dubai",25.00389521,55.0005124,NMC Royal Hospital DIP (2.5km) || Saudi German Hospital (2.5km) || Aster Hospital Discovery Gardens (2.5km),GEMS United School (2.5km) || Jebel Ali School (2.5km) || Dubai International School (2.5km),Ibn Battuta Mall (2.5km) || Discovery Gardens (2.5km) || Jebel Ali Port (2.5km)
45,2025-01-10 16:49:25.875193+00,Aril Sh1000045,il teatro Residences 1,"Aljada, Sharjah",25.31489623,55.4778491,University Hospital Sharjah (3.08km) || 5-10km: Al Zahra Hospital Sharjah (6.09km) || Medcare Hospital Sharjah (6.09km) || NMC Royal Hospital Sharjah (6.59km) || Central Private Hospital (8.57km),Sharjah English School (3.08km) || 5-10km: Victoria International School (6.09km) || American School of Creative Science (6.09km) || GEMS Westminster School (6.59km) || Delta English School (8.57km),Sharjah City Centre (3.08km) || University City (3.08km) || 5-10km: Sahara Centre (6.09km) || Blue Souk (6.09km) || Al Majaz Waterfront (6.59km) || Al Qasba (8.57km)
